/Parameters/Arch/shrinkage_main, 2, x=2, y=0.2500733733177185
/Parameters/Arch/shrinkage_main, 4, x=0, y=0.25
/Parameters/Arch/shrinkage_main, 4, x=1, y=0.24975000321865082
/Parameters/Arch/shrinkage_main, 4, x=2, y=0.24921467900276184
/Parameters/Arch/shrinkage_main, 6, x=0, y=0.25
/Parameters/Arch/shrinkage_main, 6, x=1, y=0.2502500116825104
/Parameters/Arch/shrinkage_main, 6, x=2, y=0.2514844238758087
/Parameters/Arch/stride_in, 1, x=0, y=0.3333333333333333
/Parameters/Arch/stride_in, 1, x=1, y=0.333111047744751
/Parameters/Arch/stride_in, 1, x=2, y=0.3322226107120514
/Parameters/Arch/stride_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/stride_in, 2, x=1, y=0.333111047744751
/Parameters/Arch/stride_in, 2, x=2, y=0.3339005708694458
/Parameters/Arch/stride_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/stride_in, 3, x=1, y=0.33377793431282043
/Parameters/Arch/stride_in, 3, x=2, y=0.3338768482208252
/Parameters/Arch/temp_win_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/temp_win_in, 3, x=1, y=0.33288905024528503
/Parameters/Arch/temp_win_in, 3, x=2, y=0.33288905024528503
/Parameters/Arch/temp_win_in, 5, x=0, y=0.3333333333333333
/Parameters/Arch/temp_win_in, 5, x=1, y=0.33355551958084106
/Parameters/Arch/temp_win_in, 5, x=2, y=0.3343740701675415
/Parameters/Arch/temp_win_in, 7, x=0, y=0.3333333333333333
/Parameters/Arch/temp_win_in, 7, x=1, y=0.33355551958084106
/Parameters/Arch/temp_win_in, 7, x=2, y=0.33270683884620667
/Parameters/Hyper/batch_size, 16, x=0, y=0.3333333333333333
/Parameters/Hyper/batch_size, 16, x=1, y=0.33377793431282043
/Parameters/Hyper/batch_size, 16, x=2, y=0.33295881748199463
/Parameters/Hyper/batch_size, 24, x=0, y=0.3333333333333333
/Parameters/Hyper/batch_size, 24, x=1, y=0.333111047744751
/Parameters/Hyper/batch_size, 24, x=2, y=0.3334583640098572
/Parameters/Hyper/batch_size, 8, x=0, y=0.3333333333333333
/Parameters/Hyper/batch_size, 8, x=1, y=0.333111047744751
/Parameters/Hyper/batch_size, 8, x=2, y=0.3335827589035034
/Parameters/Hyper/lr, 0.01, x=0, y=0.3333333333333333
/Parameters/Hyper/lr, 0.01, x=1, y=0.33355551958084106
/Parameters/Hyper/lr, 0.01, x=2, y=0.33460870385169983
/Parameters/Hyper/lr, 0.05, x=0, y=0.3333333333333333
/Parameters/Hyper/lr, 0.05, x=1, y=0.33355551958084106
/Parameters/Hyper/lr, 0.05, x=2, y=0.33312273025512695
/Parameters/Hyper/lr, 0.1, x=0, y=0.3333333333333333
/Parameters/Hyper/lr, 0.1, x=1, y=0.33288905024528503
/Parameters/Hyper/lr, 0.1, x=2, y=0.332268625497818
/Parameters/Hyper/momentum, 0.5, x=0, y=0.3333333333333333
/Parameters/Hyper/momentum, 0.5, x=1, y=0.33377793431282043
/Parameters/Hyper/momentum, 0.5, x=2, y=0.3350154757499695
/Parameters/Hyper/momentum, 0.9, x=0, y=0.3333333333333333
/Parameters/Hyper/momentum, 0.9, x=1, y=0.333111047744751
/Parameters/Hyper/momentum, 0.9, x=2, y=0.3325205147266388
/Parameters/Hyper/momentum, 0.99, x=0, y=0.3333333333333333
/Parameters/Hyper/momentum, 0.99, x=1, y=0.333111047744751
/Parameters/Hyper/momentum, 0.99, x=2, y=0.3324640393257141
/Parameters/Hyper/optimizers, Adam, x=0, y=0.3333333333333333
/Parameters/Hyper/optimizers, Adam, x=1, y=0.33355551958084106
/Parameters/Hyper/optimizers, Adam, x=2, y=0.33433085680007935
/Parameters/Hyper/optimizers, SGD, x=0, y=0.3333333333333333
/Parameters/Hyper/optimizers, SGD, x=1, y=0.33288905024528503
/Parameters/Hyper/optimizers, SGD, x=2, y=0.33191657066345215
/Parameters/Hyper/optimizers, AdamW, x=0, y=0.3333333333333333
/Parameters/Hyper/optimizers, AdamW, x=1, y=0.33355551958084106
/Parameters/Hyper/optimizers, AdamW, x=2, y=0.33375266194343567
/Parameters/Hyper/weight_decay, 0.0, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.0, x=1, y=0.24975000321865082
/Parameters/Hyper/weight_decay, 0.0, x=2, y=0.24994564056396484
/Parameters/Hyper/weight_decay, 0.0001, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.0001, x=1, y=0.2502500116825104
/Parameters/Hyper/weight_decay, 0.0001, x=2, y=0.2507460415363312
/Parameters/Hyper/weight_decay, 0.001, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.001, x=1, y=0.2502500116825104
/Parameters/Hyper/weight_decay, 0.001, x=2, y=0.2508254945278168
/Parameters/Hyper/weight_decay, 0.01, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.01, x=1, y=0.24975000321865082
/Parameters/Hyper/weight_decay, 0.01, x=2, y=0.2484828233718872
